,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域
10,华大城,46.8万,2室1厅1卫,61.16平米,7652元/平米,南北,高层,毛坯,宽城
11,东城左岸,88.8万,2室2厅1卫,100平米,8880元/平米,西,高层,精装修,二道
12,御翠豪庭,185万,3室2厅2卫,164平米,11280元/平米,南北,高层,毛坯,南关
13,民生农贸市场综合楼,69万,2室2厅1卫,79平米,8734元/平米,南北,高层,精装修,绿园
14,新嘉坡城,175万,3室2厅2卫,177平米,9887元/平米,南北,高层,豪华装修,净月
15,伟峰东樾别墅,1000万,6室3厅5卫,470平米,21277元/平米,南,低层,豪华装修,净月
16,一汽客车花园,84万,2室2厅1卫,109平米,7706元/平米,南北,中层,精装修,经开
17,万科柏翠园,490万,4室2厅3卫,236.51平米,20718元/平米,南北,低层,简装修,朝阳
18,万龙国际城,54万,2室2厅1卫,82平米,6585元/平米,南北,中层,精装修,宽城
19,南湖新村,165万,2室1厅1卫,55平米,30000元/平米,南北,低层,精装修,朝阳
20,富豪花园,68万,2室2厅1卫,80平米,8500元/平米,南北,高层,精装修,朝阳
21,美景天城,86.5万,2室2厅1卫,89平米,9719元/平米,南北,高层,豪华装修,宽城
22,国信中央新城,125万,2室2厅1卫,110平米,11364元/平米,东,中层,暂无,南关
23,远洋戛纳小镇,96.5万,3室1厅1卫,139平米,6942元/平米,南北,低层,精装修,净月
24,万龙台北明珠,51万,2室2厅1卫,86平米,5930元/平米,南北,中层,精装修,宽城
25,月伴林湾,76万,2室2厅1卫,89.24平米,8516元/平米,南北,高层,豪华装修,经开
26,枫林园,95万,2室2厅1卫,92平米,10326元/平米,南北,中层,中装修,二道
27,保利百合香湾,52万,1室1厅1卫,49.4平米,10526元/平米,南,中层,精装修,二道
28,万龙丽水湾,91万,2室1厅1卫,77平米,11818元/平米,南北,高层,精装修,高新
29,阳光帝景,69.8万,2室2厅1卫,86平米,8116元/平米,南北,中层,精装修,经开
30,中海水岸春城,100万,2室2厅1卫,85平米,11765元/平米,南北,中层,精装修,净月
31,亚泰桂花苑,55.8万,2室1厅1卫,56平米,9964元/平米,南,中层,精装修,二道
32,华亿红府,187万,3室2厅1卫,146平米,12808元/平米,南北,低层,精装修,朝阳
33,经济技术开发区八区,99.8万,2室2厅1卫,130平米,7677元/平米,南北,高层,豪华装修,经开
34,上东街区,52万,2室1厅1卫,59.26平米,8775元/平米,南,低层,简装修,二道
35,万科城,78万,2室1厅1卫,94平米,8298元/平米,南北,中层,毛坯,净月
36,恒大江湾,102万,2室2厅1卫,136.2平米,7489元/平米,南北,低层,精装修,宽城
37,怡众名城,162万,3室2厅2卫,147平米,11020元/平米,南北,中层,精装修,高新
38,咖啡小镇,86万,2室1厅1卫,78.6平米,10941元/平米,南北,高层,精装修,朝阳
39,东城名郡东区,175万,3室2厅2卫,141平米,12411元/平米,南北,高层,中装修,二道
40,中海水岸春城,260万,4室3厅2卫,200平米,13000元/平米,南北,中层,精装修,净月
41,车城名仕,55万,2室1厅1卫,52平米,10577元/平米,南北,中层,精装修,朝阳
42,万科洋浦花园,153万,3室2厅2卫,150平米,10200元/平米,南北,低层,豪华装修,经开
43,金都小镇,41万,2室2厅1卫,89平米,4607元/平米,南北,中层,毛坯,宽城
44,南湖新村,210万,2室2厅1卫,108平米,19444元/平米,南北,高层,简装修,朝阳
45,新星宇观塘,65万,1室1厅1卫,51平米,12745元/平米,南,高层,精装修,南关
46,福利小区,54.5万,2室1厅1卫,77平米,7078元/平米,南北,高层,精装修,二道
47,万龙名城,96万,2室1厅1卫,80平米,12000元/平米,南北,中层,精装修,二道
48,锦江花园二区,62万,2室1厅1卫,79平米,7848元/平米,东,高层,暂无,绿园
49,丰和日丽,93万,2室1厅1卫,65.24平米,14255元/平米,南北,高层,简装修,绿园
50,东方之珠龙翔苑,88万,3室2厅1卫,97.42平米,9033元/平米,南北,高层,精装修,汽开
51,耶鲁印象,100万,2室2厅1卫,94.84平米,10544元/平米,南北,高层,豪华装修,经开
52,鑫海蓝城,39万,3室2厅2卫,99平米,3939元/平米,南北,低层,毛坯,绿园
53,吉星馨苑,77万,2室2厅1卫,87平米,8851元/平米,南北,高层,毛坯,二道
54,像素公园,96万,2室2厅1卫,82.19平米,11680元/平米,南北,低层,精装修,经开
55,西四小区,56万,2室1厅1卫,66平米,8485元/平米,南北,中层,中装修,南关
56,水景阁,44万,1室1厅1卫,43.3平米,10162元/平米,南,高层,精装修,二道
57,蓝天花园,117万,2室2厅2卫,130平米,9000元/平米,南北,中层,精装修,绿园
58,万通花园,55万,2室1厅1卫,65平米,8462元/平米,东西,中层,中装修,二道
59,宝来雅居,78万,2室2厅1卫,95平米,8211元/平米,南北,中层,精装修,朝阳
0,吴中印象,118.7万,2室2厅1卫,91.3平米,13001元/平米,南北,低层,精装修,宽城
1,鸿城国际,495万,4室3厅4卫,500平米,9900元/平米,南北,低层,精装修,南关
2,丰和西郡,122万,2室2厅1卫,80.31平米,15191元/平米,南北,低层,精装修,绿园
3,富锦小区,76万,3室1厅1卫,85平米,8941元/平米,东南,高层,精装修,朝阳
4,南湖新村,200万,3室1厅1卫,76.1平米,26281元/平米,南北,高层,精装修,朝阳
5,吉盛小区,48万,2室1厅1卫,69平米,6957元/平米,西,高层,简装修,二道
6,恒大雅苑,110万,2室2厅1卫,95平米,11579元/平米,南北,高层,精装修,高新
7,浦东明珠,163万,3室2厅2卫,135.93平米,11991元/平米,南北,高层,精装修,经开
8,高格蓝湾,165万,3室2厅1卫,128.46平米,12844元/平米,南北,中层,精装修,二道
9,像素公园,82.8万,2室2厅1卫,93平米,8903元/平米,南北,低层,精装修,经开
10,欧风花园,45万,2室1厅1卫,70平米,6429元/平米,南北,高层,简装修,朝阳
11,丰和日丽,105万,2室1厅1卫,68平米,15441元/平米,南北,中层,精装修,绿园
12,银湖柳苑,92万,2室2厅1卫,106平米,8679元/平米,南北,中层,精装修,净月
13,万龙城,85万,2室2厅1卫,84.13平米,10103元/平米,东,高层,暂无,南关
14,汉森金烁广场,68万,2室1厅1卫,58.65平米,11594元/平米,南北,高层,精装修,二道
15,兆丰凯旋明珠,76.9万,3室2厅1卫,103.69平米,7416元/平米,南北,低层,精装修,宽城
16,保利蔷薇,132万,3室2厅2卫,127.81平米,10328元/平米,南北,中层,精装修,净月
17,益和国际城,60.8万,2室1厅1卫,74.4平米,8172元/平米,南北,低层,精装修,宽城
18,华盛碧水云天,73万,2室2厅1卫,74.27平米,9829元/平米,南北,中层,简装修,汽开
19,西康小区,128万,2室1厅1卫,100平米,12800元/平米,南北,中层,精装修,朝阳
20,一汽38B街区,67万,2室1厅1卫,74平米,9054元/平米,南北,低层,精装修,汽开
21,像素公园,76万,2室2厅1卫,86平米,8837元/平米,南北,高层,精装修,经开
22,东方万达城,95万,2室2厅1卫,102平米,9314元/平米,南,高层,精装修,经开
23,丰和日丽,118万,2室2厅2卫,90平米,13111元/平米,东,高层,暂无,绿园
24,华方状元府,44.7万,2室2厅1卫,82平米,5451元/平米,南北,低层,毛坯,宽城
25,万嘉花园,90万,2室2厅1卫,106平米,8491元/平米,南北,低层,豪华装修,绿园
26,吉盛小区,65.8万,2室1厅1卫,70平米,9400元/平米,南北,中层,精装修,二道
27,亚泰杏花苑,29万,1室1厅1卫,42平米,6905元/平米,南,低层,简装修,二道
28,吴中印象二期,115万,2室2厅1卫,89.77平米,12811元/平米,东,低层,暂无,宽城
29,英伦小镇,80万,2室1厅1卫,98平米,8163元/平米,南北,中层,毛坯,宽城
30,玖诚领域,91.8万,2室2厅1卫,90.01平米,10199元/平米,南北,低层,精装修,经开
31,亚泰杏花苑,146万,4室3厅2卫,180平米,8111元/平米,南北,高层,精装修,二道
32,万科洋浦花园,125万,3室2厅1卫,120平米,10417元/平米,南北,高层,精装修,经开
33,上东城市之光,132万,2室2厅1卫,100平米,13200元/平米,南北,中层,精装修,二道
34,机车厂宿舍,42.5万,2室1厅1卫,56平米,7589元/平米,南,中层,简装修,宽城
35,安华美郡,118.8万,2室2厅1卫,140.5平米,8456元/平米,南北,低层,精装修,经开
36,恒大翡翠华庭,94万,2室2厅1卫,100平米,9400元/平米,南北,高层,精装修,经开
37,中意之尊,45万,2室1厅1卫,60平米,7500元/平米,南北,中层,精装修,经开
38,中天北湾新城,32万,2室2厅1卫,84平米,3810元/平米,南北,低层,毛坯,高新
39,中日联谊医院家属楼,50万,2室2厅2卫,50平米,10000元/平米,西,高层,精装修,经开
40,恒大雅苑,145万,3室2厅2卫,136.91平米,10591元/平米,南北,低层,精装修,高新
41,中海莱茵东郡,205万,3室2厅2卫,156平米,13141元/平米,南北,高层,精装修,净月
42,锦绣溪城,50万,2室2厅1卫,83平米,6024元/平米,暂无,中层,简装修,绿园
43,星宇花园,77万,2室2厅1卫,97平米,7938元/平米,南北,中层,精装修,绿园
44,华源公园1号,66.4万,2室2厅1卫,88平米,7545元/平米,南,高层,精装修,宽城
45,金安华城,92.8万,2室1厅1卫,115平米,8070元/平米,南北,高层,简装修,绿园
46,新星宇之悦,82万,2室1厅1卫,85平米,9647元/平米,南北,低层,豪华装修,高新
47,绿地新里中央公馆,125万,2室2厅1卫,85平米,14706元/平米,东,低层,暂无,南关
48,亚泰杏花苑,99万,2室2厅1卫,96平米,10312元/平米,南北,低层,精装修,二道
49,天安豪园,330万,4室3厅2卫,228.45平米,14445元/平米,南北,高层,豪华装修,高新
50,亚泰梧桐公馆,119万,3室2厅1卫,116.83平米,10186元/平米,南北,低层,豪华装修,二道
51,东地天澜,91万,2室2厅1卫,89.72平米,10143元/平米,南北,中层,毛坯,高新
52,晟鑫康诗丹郡,125万,3室2厅2卫,131平米,9542元/平米,东,中层,暂无,净月
53,亚泰杏花苑,156万,3室2厅2卫,134平米,11642元/平米,南北,低层,精装修,二道
54,中天北湾新城,77万,2室2厅1卫,88平米,8750元/平米,南北,高层,豪华装修,高新
55,中海水岸馨都,115万,2室2厅2卫,97平米,11856元/平米,东,高层,暂无,净月
56,大兴小区,68.5万,2室2厅1卫,78平米,8782元/平米,东西,低层,精装修,朝阳
57,兴隆丽景城,45万,2室1厅1卫,85平米,5294元/平米,南北,高层,毛坯,经开
58,中环十区,75万,2室1厅1卫,83平米,9036元/平米,南北,低层,精装修,宽城
59,吉森春城,60万,2室2厅1卫,90平米,6667元/平米,南北,中层,精装修,二道
0,大禹城邦一期,255万,5室3厅3卫,221.73平米,11500元/平米,南北,高层,精装修,朝阳
1,嘉柏湾,71万,2室2厅1卫,79.28平米,8956元/平米,南北,中层,精装修,经开
2,上东街区,91万,2室1厅1卫,83.19平米,10939元/平米,南北,低层,精装修,二道
3,长电紫盈花城,113万,3室2厅1卫,119平米,9496元/平米,南北,高层,精装修,二道
4,力旺康城,115万,2室2厅1卫,87.6平米,13128元/平米,南北,中层,精装修,二道
5,首地首城,140万,3室2厅2卫,122平米,11475元/平米,南北,中层,精装修,经开
6,米澜国际,68万,3室2厅1卫,86平米,7907元/平米,南北,高层,毛坯,宽城
7,新星宇观塘,102万,2室2厅1卫,90平米,11333元/平米,南北,中层,简装修,南关
8,吉盛小区,55.8万,2室1厅1卫,60平米,9300元/平米,南,低层,精装修,二道
9,东皇银河家园,30万,1室1厅1卫,31平米,9677元/平米,南,低层,精装修,经开
10,安达小区,92万,2室2厅1卫,95平米,9684元/平米,南北,中层,精装修,朝阳
11,香港城,90万,2室2厅1卫,90平米,10000元/平米,南,高层,精装修,绿园
12,松苑小区,77万,2室2厅1卫,86.61平米,8890元/平米,南北,低层,精装修,二道
13,天富家园,160万,3室2厅2卫,150平米,10667元/平米,南北,中层,精装修,二道
14,中海蘭庭,150万,3室2厅2卫,141.5平米,10601元/平米,南北,高层,精装修,高新
15,万晟幸福里,105万,2室2厅1卫,91平米,11538元/平米,南,中层,精装修,南关
16,华润凯旋门,138万,3室2厅1卫,123平米,11220元/平米,南北,高层,精装修,高新
17,伟峰东第,155万,2室2厅1卫,96.3平米,16096元/平米,南北,低层,精装修,净月
18,天裕小区,72.5万,2室1厅1卫,115.83平米,6259元/平米,南,高层,精装修,朝阳
19,万龙台北明珠,88.8万,2室2厅1卫,85平米,10447元/平米,南,中层,精装修,宽城
20,中海蘭庭,162万,3室2厅3卫,147平米,11020元/平米,南,中层,精装修,高新
21,郁金花园,93万,2室1厅1卫,103平米,9029元/平米,南北,中层,中装修,二道
22,怡景阳光,98万,2室2厅1卫,96.21平米,10186元/平米,南北,中层,精装修,经开
23,一汽49街区,47万,2室1厅1卫,75平米,6267元/平米,南北,中层,精装修,汽开
24,经开四区,61.5万,2室2厅1卫,88平米,6989元/平米,南北,中层,精装修,经开
25,伟业星城,78万,2室2厅1卫,76.74平米,10164元/平米,南北,低层,精装修,朝阳
26,郡望安石,105万,2室2厅1卫,100平米,10500元/平米,南北,高层,毛坯,宽城
27,怡众名城,195万,3室2厅2卫,177.48平米,10987元/平米,南北,高层,简装修,高新
28,中海国际社区,105万,2室1厅1卫,88.38平米,11881元/平米,南,低层,简装修,净月
29,四季台北,80万,2室2厅1卫,92平米,8696元/平米,南北,中层,精装修,绿园
30,国信中央新城,170万,3室2厅2卫,135平米,12593元/平米,南北,中层,精装修,南关
31,万科城,132万,3室2厅1卫,105平米,12571元/平米,南北,高层,精装修,净月
32,西安花园,77万,2室2厅1卫,87平米,8851元/平米,南北,中层,中装修,绿园
33,君悦豪庭,68.6万,3室2厅1卫,104平米,6596元/平米,南北,中层,毛坯,高新
34,烟草小区,117万,2室2厅1卫,129.36平米,9045元/平米,南北,高层,精装修,经开
35,全安小区,42.8万,1室1厅1卫,50平米,8560元/平米,南北,中层,精装修,南关
36,中信城浅山,129.8万,3室2厅2卫,97.09平米,13369元/平米,南北,高层,精装修,净月
37,锦绣东方,80.8万,2室2厅1卫,92.59平米,8727元/平米,南北,中层,精装修,经开
38,宽城万达广场,49.5万,暂无,51.9平米,9538元/平米,东北,高层,精装修,宽城
39,湖畔诚品,125万,3室2厅1卫,117平米,10684元/平米,东,高层,暂无,朝阳
40,中铁十三局宿舍,68万,2室2厅1卫,88平米,7727元/平米,南北,中层,精装修,汽开
41,亚泰梧桐公馆,79.5万,2室2厅1卫,75平米,10600元/平米,西北,中层,精装修,二道
42,富腾天下城,99万,2室2厅1卫,108.59平米,9117元/平米,南北,中层,精装修,经开
43,中信城浅山,125万,3室2厅1卫,97.6平米,12807元/平米,南北,低层,精装修,净月
44,亚泰梧桐公馆,69万,1室2厅1卫,67.4平米,10237元/平米,西北,中层,精装修,二道
45,松苑名邸,96万,2室2厅1卫,102平米,9412元/平米,东,中层,暂无,二道
46,亚泰梧桐公馆,64万,2室1厅1卫,67平米,9552元/平米,南北,中层,精装修,二道
47,瀚邦凤凰城,162万,3室2厅2卫,143平米,11329元/平米,南北,中层,精装修,净月
48,新奥蓝城,130万,2室2厅1卫,99平米,13131元/平米,南北,高层,精装修,绿园
49,亚泰梧桐公馆,79.5万,2室2厅1卫,75.97平米,10465元/平米,东,高层,暂无,二道
50,证大清华园,145万,3室2厅1卫,145平米,10000元/平米,南北,低层,豪华装修,宽城
51,中铁城,67万,2室2厅1卫,82.5平米,8121元/平米,南北,中层,精装修,汽开
52,枫林园,93万,2室1厅1卫,91.3平米,10186元/平米,南北,中层,精装修,二道
53,新嘉坡城,130万,3室2厅2卫,147平米,8844元/平米,南北,中层,毛坯,净月
54,沈铁北部湾,56万,2室1厅1卫,75平米,7467元/平米,南北,中层,简装修,宽城
55,南湖新村,220万,3室2厅2卫,102平米,21569元/平米,南北,高层,中装修,朝阳
56,龙润福湾国际,32万,2室2厅1卫,80平米,4000元/平米,南北,中层,精装修,宽城
57,汉森金烁广场,133万,2室2厅2卫,125平米,10640元/平米,南北,低层,精装修,二道
58,亚泰杏花苑,55万,2室1厅1卫,63.03平米,8726元/平米,南北,中层,精装修,二道
59,一汽22街区,42万,2室1厅1卫,76平米,5526元/平米,南北,高层,简装修,汽开
0,天茂湖三期温莎园,315万,4室2厅2卫,184.4平米,17082元/平米,南北,高层,豪华装修,高新
1,万科蓝山,345万,4室2厅3卫,213.61平米,16151元/平米,南北,中层,豪华装修,二道
2,融创上城,132万,3室2厅1卫,115平米,11478元/平米,南北,中层,中装修,高新
3,中天北湾新城,138万,3室2厅2卫,127.84平米,10795元/平米,南北,中层,精装修,高新
4,恒大名都,129万,3室2厅2卫,131平米,9847元/平米,南北,中层,豪华装修,高新
5,华源公园1号,56万,2室1厅1卫,69.8平米,8023元/平米,南北,低层,精装修,宽城
6,新奥蓝城,128万,2室2厅1卫,102平米,12549元/平米,南北,低层,中装修,绿园
7,吴中家天下,83万,2室2厅1卫,93平米,8925元/平米,南北,中层,精装修,二道
8,源山墅,320万,4室3厅3卫,243平米,13169元/平米,南,低层,毛坯,净月
9,中海净月华庭,156万,3室2厅2卫,131平米,11908元/平米,东,高层,暂无,净月
10,柳影路铁路小区,57.5万,2室2厅1卫,66平米,8712元/平米,南北,高层,简装修,宽城
11,万通花园,78万,2室2厅1卫,98平米,7959元/平米,西南,高层,豪华装修,二道
12,嘉柏湾,75万,2室2厅1卫,89.2平米,8408元/平米,南,高层,豪华装修,经开
13,重庆路小区,68.8万,2室2厅1卫,88平米,7818元/平米,南北,低层,豪华装修,南关
14,雨润星雨华府,50万,2室1厅1卫,78平米,6410元/平米,南北,低层,精装修,宽城
15,贵阳高层,46.5万,2室2厅1卫,65平米,7154元/平米,西南,低层,精装修,宽城
16,华大天朗国际社区,57万,2室1厅1卫,63.3平米,9005元/平米,南北,中层,精装修,宽城
17,科技花园,65万,2室1厅1卫,78平米,8333元/平米,南北,中层,精装修,朝阳
18,亚泰桂花苑,125万,2室2厅1卫,94.44平米,13236元/平米,南北,低层,豪华装修,二道
19,工程学院家属楼,280万,3室1厅1卫,80平米,35000元/平米,南北,低层,简装修,朝阳
20,恒大名都,138万,4室2厅3卫,170.31平米,8103元/平米,南北,低层,精装修,高新
21,上东街区,83万,2室1厅1卫,73.76平米,11253元/平米,南北,中层,精装修,二道
22,春园旭日华庭,85万,2室2厅1卫,85平米,10000元/平米,南北,高层,精装修,绿园
23,保利百合香湾,96万,2室2厅1卫,109平米,8807元/平米,南北,低层,精装修,二道
24,轻铁湖西花园,63万,2室2厅1卫,87.63平米,7189元/平米,南北,高层,精装修,绿园
25,益田翠堤悦府,118万,2室2厅1卫,95平米,12421元/平米,南北,中层,精装修,高新
26,兆丰凯旋明珠,85万,3室1厅1卫,116平米,7328元/平米,南北,低层,精装修,宽城
27,中海水岸馨都,149万,2室2厅1卫,107.36平米,13879元/平米,东,中层,暂无,净月
28,万隆广场,16万,1室1厅1卫,40平米,4000元/平米,南,中层,简装修,宽城
29,恒盛豪庭,110万,2室2厅1卫,86平米,12791元/平米,南,中层,精装修,高新
30,大众花园三期,69.5万,2室1厅1卫,76.02平米,9142元/平米,南北,高层,精装修,绿园
31,绿地英湖印象,185万,3室2厅1卫,111平米,16667元/平米,南北,低层,精装修,绿园
32,万龙名城,168万,3室2厅1卫,135平米,12444元/平米,南北,中层,精装修,二道
33,万科惠斯勒小镇,800万,4室3厅3卫,400平米,20000元/平米,南,低层,豪华装修,净月
34,万科蓝山,200万,3室2厅2卫,163.7平米,12217元/平米,南北,高层,豪华装修,二道
35,新华社区,56.8万,2室1厅1卫,60平米,9467元/平米,南北,中层,豪华装修,朝阳
36,昊源高格蓝郡,118万,2室2厅1卫,102平米,11569元/平米,南北,中层,精装修,二道
37,中海寰宇天下,88万,2室2厅1卫,84平米,10476元/平米,南北,低层,精装修,经开
38,中信城枫丹白露二期,156万,3室2厅2卫,127.97平米,12190元/平米,南北,中层,精装修,净月
39,通安小区,66万,2室2厅1卫,85平米,7765元/平米,南北,高层,精装修,二道
40,爱尚北湖,82万,2室2厅1卫,89平米,9213元/平米,南北,高层,精装修,高新
41,澳海東方1號,105万,3室2厅1卫,100平米,10500元/平米,南北,低层,豪华装修,经开
42,怡众名城,120万,2室2厅1卫,95平米,12632元/平米,南北,低层,毛坯,高新
43,像素公园,85万,2室2厅1卫,87平米,9770元/平米,南北,高层,精装修,经开
44,松苑小区,72万,2室1厅1卫,86平米,8372元/平米,南北,高层,精装修,二道
45,绿园小区,44.8万,2室1厅1卫,53平米,8453元/平米,南北,高层,精装修,绿园
46,丰和日丽,88万,2室1厅1卫,63平米,13968元/平米,南北,低层,简装修,绿园
47,红苹果家园,135万,3室2厅2卫,160平米,8438元/平米,南北,低层,精装修,高新
48,亚泰桂花苑,125万,2室2厅1卫,95平米,13158元/平米,南北,低层,豪华装修,二道
49,国信御湖公馆,95万,2室2厅1卫,86.09平米,11035元/平米,南北,低层,精装修,南关
50,车城名仕花园,78万,2室2厅1卫,85平米,9176元/平米,南北,中层,精装修,朝阳
51,恒盛豪庭,90万,2室2厅1卫,94平米,9574元/平米,南北,低层,精装修,高新
52,御景名都,71.5万,2室1厅1卫,64平米,11172元/平米,南北,高层,简装修,二道
53,中海莱茵东郡,550万,5室3厅3卫,342平米,16082元/平米,南北,低层,豪华装修,净月
54,万达华府,96万,2室1厅1卫,83平米,11566元/平米,南北,高层,精装修,汽开
55,万科上东区,112万,2室2厅1卫,99.4平米,11268元/平米,南,中层,精装修,二道
56,大禹褐石公园,86万,2室2厅1卫,82平米,10488元/平米,南北,高层,精装修,高新
57,玖诚领域,100万,3室2厅2卫,112平米,8929元/平米,南北,中层,精装修,经开
58,亚泰樱花苑,100万,3室2厅2卫,77.34平米,12930元/平米,南北,高层,精装修,二道
59,万达华府,90.5万,2室1厅1卫,86.86平米,10419元/平米,南北,低层,精装修,汽开
0,益田翠堤悦府,96万,2室2厅1卫,97平米,9897元/平米,南北,中层,精装修,高新
1,中海紫御华府,98万,2室2厅1卫,103.1平米,9505元/平米,南北,高层,精装修,经开
2,鲁辉国际城,84万,2室2厅1卫,100平米,8400元/平米,南北,高层,精装修,二道
3,益田枫露,138万,3室2厅2卫,112.55平米,12261元/平米,南北,低层,精装修,高新
4,省电力宿舍,230万,2室1厅1卫,61平米,37705元/平米,南北,中层,简装修,朝阳
5,西安花园,77万,2室2厅1卫,102平米,7549元/平米,南北,高层,简装修,绿园
6,万科惠斯勒小镇,125万,2室2厅1卫,97.29平米,12848元/平米,南北,高层,精装修,净月
7,吉盛小区,59.8万,2室1厅1卫,62平米,9645元/平米,南北,中层,精装修,二道
8,御翠湾,210万,3室2厅2卫,169平米,12426元/平米,南北,中层,精装修,高新
9,汉森金烁广场,125万,3室2厅1卫,92平米,13587元/平米,南北,中层,精装修,二道
10,曙光小区,85.8万,3室2厅1卫,100.96平米,8498元/平米,南北,高层,中装修,南关
11,新星宇和源左岸,88万,2室1厅1卫,95.86平米,9180元/平米,南北,高层,精装修,高新
12,昊源高格蓝湾,298万,4室2厅2卫,185.91平米,16029元/平米,南北,低层,简装修,二道
13,益田枫露,130万,3室2厅1卫,103平米,12621元/平米,南北,高层,精装修,高新
14,亚泰樱花苑,115万,2室2厅1卫,106.5平米,10798元/平米,南北,高层,精装修,二道
15,上东街区,49.8万,1室1厅1卫,53平米,9396元/平米,南,高层,精装修,二道
16,石油宿舍,49万,2室1厅1卫,58平米,8448元/平米,南北,中层,豪华装修,绿园
17,万达文华公馆,135万,2室2厅1卫,101.2平米,13340元/平米,南北,低层,毛坯,朝阳
18,保利香槟,300万,4室2厅1卫,208平米,14423元/平米,南北,高层,简装修,净月
19,荣鼎康城,70万,2室2厅1卫,107平米,6542元/平米,南,高层,精装修,绿园
20,东方万达城,190万,4室2厅2卫,205平米,9268元/平米,南北,高层,精装修,经开
21,良品柏宏爱琴湾,75万,2室2厅1卫,87.6平米,8562元/平米,南北,高层,精装修,经开
22,经开四区,70万,2室1厅1卫,80平米,8750元/平米,南北,中层,精装修,经开
23,亚泰桂花苑,82万,2室1厅1卫,68.39平米,11990元/平米,南北,高层,中装修,二道
24,吉森春城,75万,2室1厅1卫,85.26平米,8797元/平米,南北,高层,精装修,二道
25,天嘉水晶城,95万,2室2厅1卫,83平米,11446元/平米,南北,低层,中装修,绿园
26,亚泰梧桐公馆,75万,2室2厅1卫,77平米,9740元/平米,南北,中层,精装修,二道
27,轻铁湖西花园,95万,3室2厅1卫,133平米,7143元/平米,南北,高层,精装修,绿园
28,天茂湖三期温莎园,380万,4室2厅3卫,240平米,15833元/平米,南北,低层,精装修,高新
29,圣世金鼎城,115万,3室2厅2卫,105平米,10952元/平米,东,低层,暂无,南关
30,亚泰樱花苑,188万,3室2厅2卫,153平米,12288元/平米,南北,中层,豪华装修,二道
31,虹馆,151万,3室2厅1卫,108.4平米,13930元/平米,南北,低层,精装修,南关
32,万龙国际城,74万,2室2厅1卫,88平米,8409元/平米,南北,高层,毛坯,宽城
33,丰和西郡,135万,2室2厅1卫,92.75平米,14555元/平米,南北,高层,精装修,绿园
34,新星宇之悦,55万,2室1厅1卫,71平米,7746元/平米,南北,高层,毛坯,高新
35,新星宇左岸,86万,2室1厅2卫,95平米,9053元/平米,南北,高层,精装修,高新
36,尊誉东方,69万,2室2厅1卫,78平米,8846元/平米,暂无,高层,精装修,经开
37,华润凯旋门,225万,3室2厅2卫,137平米,16423元/平米,南北,低层,中装修,高新
38,亚泰樱花苑,160万,3室2厅2卫,134平米,11940元/平米,南北,高层,精装修,二道
39,恒大名都,91万,2室2厅1卫,97.24平米,9358元/平米,南北,高层,精装修,高新
40,乐嘉茗园,44.8万,3室1厅1卫,66平米,6788元/平米,南,高层,豪华装修,宽城
41,中铁城,90.3万,3室2厅2卫,129平米,7000元/平米,南北,中层,毛坯,汽开
42,中冶蓝城,83万,2室1厅1卫,76.96平米,10785元/平米,南北,中层,精装修,宽城
43,伟峰东樾,455万,3室2厅2卫,210平米,21667元/平米,南北,低层,豪华装修,净月
44,虹馆,128万,2室2厅1卫,85平米,15059元/平米,南北,中层,精装修,南关
45,博众新城一期,80万,2室2厅1卫,85平米,9412元/平米,南北,中层,简装修,汽开
46,新奥蓝城,109万,2室2厅1卫,100.5平米,10846元/平米,南北,中层,精装修,绿园
47,华大城,62万,2室2厅1卫,85平米,7294元/平米,南北,高层,精装修,宽城
48,华大城,70万,3室2厅1卫,85平米,8235元/平米,南北,中层,毛坯,宽城
49,春园旭日华庭,99.8万,2室2厅1卫,88.49平米,11278元/平米,南北,中层,精装修,绿园
50,融创上城别墅,320万,3室3厅3卫,282平米,11348元/平米,南,低层,精装修,高新
51,昊源高格蓝湾,92万,2室1厅1卫,70平米,13143元/平米,南,中层,精装修,二道
52,中海紫御华府,370万,4室3厅3卫,202平米,18317元/平米,南北,中层,毛坯,经开
53,万龙台北明珠,29万,1室1厅1卫,41平米,7073元/平米,南北,中层,毛坯,宽城
54,中天北湾新城,100万,2室2厅1卫,88平米,11364元/平米,南北,低层,精装修,高新
55,天一家源1953,113万,2室2厅1卫,112.88平米,10011元/平米,南北,低层,中装修,汽开
56,一汽28B小区,89.8万,3室2厅1卫,118平米,7610元/平米,南北,高层,精装修,汽开
57,御景名都,57万,2室1厅1卫,64平米,8906元/平米,东西,中层,精装修,二道
58,师大二教,210万,2室1厅1卫,78平米,26923元/平米,南北,中层,精装修,朝阳
59,上东城市之光,48万,2室1厅1卫,65.19平米,7363元/平米,南,低层,精装修,二道
0,丰和西郡,188.8万,3室2厅1卫,118平米,16000元/平米,北,低层,精装修,绿园
1,枫林园,95万,2室2厅1卫,94.7平米,10032元/平米,南北,高层,简装修,二道
2,南湖新村,129万,2室1厅1卫,49.75平米,25930元/平米,南北,中层,精装修,朝阳
3,新星宇和悦,75万,2室1厅1卫,61.2平米,12255元/平米,南北,低层,精装修,高新
4,上东街区,162万,3室2厅1卫,158.1平米,10247元/平米,南北,高层,精装修,二道
5,亚泰杏花苑,298万,5室4厅3卫,339平米,8791元/平米,南北,中层,精装修,二道
